Feature No.,Feature,Feature Description
105,num_std_6mts_divide_num_std_12mts,A derived feature calculated by dividing the number of standard payments made by the customer in the last six months by the number of standard payments made by the customer in the last twelve months
106,num_times_30p_dpd_divide_num_times_delinquent,A derived feature calculated by the number of times the customer has had a thirty day or more delinquency or days past due by the total number of times the customer has been delinquent 
107,num_times_60p_dpd_divide_num_times_delinquent,A derived feature calculated by the number of times the customer has had a sixty day or more delinquency or days past due by the total number of times the customer has been delinquent 
108,PL_utilization_divide_CC_utilization,A derived feature calculated by dividing the percentage of personal loan utilization by the percentage of credit card utilization
109,PL_enq_L6m_subtract_PL_enq_L12m,A derived feature calculated by getting the difference between the number of personal loan enquiries made by the customer in the last six months and the number of personal loan enquiries by the customer in the last twelve months
110,CC_enq_L6m_subtract_CC_enq_L12m,A derived feature calculated by getting the difference between the number of credit card enquiries made by the customer in the last six months and the number of credit card enquiries by the customer in the last twelve months
111,enq_L3m_divide_enq_L6m,A derived feature calculated by dividing the total number of enquiries made by the customer in the last three months by the total number of enquiries made in the last six months by the customer
112,enq_L6m_divide_enq_L12m,A derived feature calculated by dividing the total number of enquiries made by the customer in the last six months by the total number of enquiries made in the last twelve months by the customer
113,max_deliq_6mts_divide_max_deliq_12mts,A derived feature calculated by dividing the maximum level of delinquency recorded in the last six months for the customer by the maximum level of delinquency recorded in the last twelve months for the customer
114,recent_level_of_deliq_divide_max_delinquency_level,A derived feature calculated by dividing the the most recent level of delinquency recorded for the customer by the highest level of delinquency recorded for the customer
115,num_times_delinquent_divide_tot_enq,A derived feature calculated by dividing the total number of times the customer has been delinquent by the total number of credit enquiries made by the customer
116,MARITALSTATUS_Married,"The flag which signifies the marital status of the customer. If the value of the flag is 1, the customer is married and is not single"
117,MARITALSTATUS_Single,"The flag which signifies the marital status of the customer. If the value of the flag is 1, the customer is not married and is single"
118,EDUCATION_12TH,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of a student who has passed the 12th board examinations"
119,EDUCATION_GRADUATE,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of a graduate student"
120,EDUCATION_OTHERS,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of Others"
121,EDUCATION_POST-GRADUATE,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of a post graduate student"
122,EDUCATION_PROFESSIONAL,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of a working professional and is not a student"
123,EDUCATION_SSC,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of a student who has passed the secondary school examination"
124,EDUCATION_UNDER GRADUATE,"The flag which signifies the education qualification of the customer. If the value of the flag is 1, the customer has an education qualification of an undergraduate student"
125,GENDER_F,"The gender flag for the customer. If the value of the flag is 1, the customer is a female customer"
126,GENDER_M,"The gender flag for the customer. If the value of the flag is 1, the customer is a male customer"
127,last_prod_enq2_AL,"The flag which signifies the most recent product for which the customer has made an enquiry for.  If the value of the flag is 1, the customer has made an enquiry for automobile loan"
128,last_prod_enq2_CC,"The flag which signifies the most recent product for which the customer has made an enquiry for.  If the value of the flag is 1, the customer has made an enquiry for credit card related loan"
129,last_prod_enq2_ConsumerLoan,"The flag which signifies the most recent product for which the customer has made an enquiry for.  If the value of the flag is 1, the customer has made an enquiry for consumer loan"
130,last_prod_enq2_HL,"The flag which signifies the most recent product for which the customer has made an enquiry for.  If the value of the flag is 1, the customer has made an enquiry for Home loan"
131,last_prod_enq2_PL,"The flag which signifies the most recent product for which the customer has made an enquiry for.  If the value of the flag is 1, the customer has made an enquiry for Personal loan"
132,last_prod_enq2_others,"The flag which signifies the most recent product for which the customer has made an enquiry for.  If the value of the flag is 1, the customer has made an enquiry for a loan that is not auto, personal, credit card, consumer or home loan"
133,first_prod_enq2_AL,"The flag which signifies the the first product for which the customer made an enquiry for. If the value of the flag is 1, the customer has made an enquiry for automobile loan"
134,first_prod_enq2_CC,"The flag which signifies the the first product for which the customer made an enquiry for. If the value of the flag is 1, the customer has made an enquiry for credit card related loan"
135,first_prod_enq2_ConsumerLoan,"The flag which signifies the the first product for which the customer made an enquiry for. If the value of the flag is 1, the customer has made an enquiry for consumer loan"
136,first_prod_enq2_HL,"The flag which signifies the the first product for which the customer made an enquiry for. If the value of the flag is 1, the customer has made an enquiry for home loan"
137,first_prod_enq2_PL,"The flag which signifies the the first product for which the customer made an enquiry for. If the value of the flag is 1, the customer has made an enquiry for personal loan"
138,first_prod_enq2_others,"The flag which signifies the the first product for which the customer made an enquiry for. If the value of the flag is 1, the customer has made an enquiry for a loan that is not auto, personal, credit card, consumer or home loan"
139,Approved_Flag,"The flag which signifies if loan is approved for the customer or not. If the value of the flag is 1 then the customer is a least risk customer and loan is approved. Else, the customer is a high risk customer and loan cannot be approved for the customer"
140,MARITALSTATUS,"Marital status of the individual, encoded as integers:
 - Married = 0
 - Single = 1."
141,EDUCATION,"Education level of the individual, encoded as integers:
 - 12TH = 0 (Education qualification of a student who has passed the 12th board examinations)
 - GRADUATE = 1 (Graduate level education qualification)
 - OTHERS = 2 (Education qualification marked as 'Others')
 - POST-GRADUATE = 3 (Education qualification of a post-graduate student)
 - PROFESSIONAL = 4 (Qualification indicating the individual is a working professional)
 - SSC = 5 (Education qualification of a student who passed secondary school)
 - UNDER GRADUATE = 6 (Undergraduate level qualification)."
142,GENDER,"Gender of the individual, encoded as integers:
 - F = 0 (Female)
 - M = 1 (Male)."
143,last_prod_enq2,"Most recent product inquiry by the individual, encoded as integers:
 - AL = 0 (Automobile loan)
 - CC = 1 (Credit card loan)
 - ConsumerLoan = 2 (Consumer loan)
 - HL = 3 (Home loan)
 - PL = 4 (Personal loan)
 - others = 5 (Other types of loans)."
144,first_prod_enq2,"First product inquiry by the individual, encoded as integers:
 - AL = 0 (Automobile loan)
 - CC = 1 (Credit card loan)
 - ConsumerLoan = 2 (Consumer loan)
 - HL = 3 (Home loan)
 - PL = 4 (Personal loan)
 - others = 5 (Other types of loans)."
